Test Case ID,Module Name,Feature Name,Test Scenario,Preconditions,Test Steps,Expected Result,Actual Result,Test Data,Priority,Severity,Test Type,Status,Browser/Device Compatibility,Remarks
TC_HOME_113,Homepage,Featured Products,Verify product cards UI - Test on small viewport (320px),On Homepage,"1. Scroll to featured
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,N/A,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_HOME_114,Homepage,Featured Products,Verify product cards UI - Simulate page refresh during action,On Homepage,"1. Scroll to featured
- Hit F5 mid-process",State is recovered or fails safely,Pending,N/A,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_HOME_115,Homepage,Footer Links,Verify policy links,On Homepage,"1. Click T&C, Privacy",Pages load correctly,Pending,N/A,Medium,Minor,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_HOME_116,Homepage,Footer Links,Verify policy links - Test max allowed string length,On Homepage,"1. Click T&C, Privacy
- Input string of 255 chars",System handles limit gracefully,Pending,N/A,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_HOME_117,Homepage,Footer Links,Verify policy links - Test empty required fields,On Homepage,"1. Click T&C, Privacy
- Submit without required data",Validation errors highlight fields,Pending,N/A,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_HOME_118,Homepage,Footer Links,Verify policy links - Test on Firefox,On Homepage,"1. Click T&C, Privacy
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,N/A,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_HOME_119,Homepage,Footer Links,Verify policy links - Test on small viewport (320px),On Homepage,"1. Click T&C, Privacy
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,N/A,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_HOME_120,Homepage,Footer Links,Verify policy links - Simulate page refresh during action,On Homepage,"1. Click T&C, Privacy
- Hit F5 mid-process",State is recovered or fails safely,Pending,N/A,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_PROD_121,Product Module,Product Listing,Verify grid/list view toggle,On PLP,1. Click List view,Layout changes to list,Pending,N/A,Medium,Minor,UI,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_PROD_122,Product Module,Product Listing,Verify grid/list view toggle - Test max allowed string length,On PLP,"1. Click List view
- Input string of 255 chars",System handles limit gracefully,Pending,N/A,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_PROD_123,Product Module,Product Listing,Verify grid/list view toggle - Test empty required fields,On PLP,"1. Click List view
- Submit without required data",Validation errors highlight fields,Pending,N/A,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_PROD_124,Product Module,Product Listing,Verify grid/list view toggle - Test on Firefox,On PLP,"1. Click List view
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,N/A,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_PROD_125,Product Module,Product Listing,Verify grid/list view toggle - Test on small viewport (320px),On PLP,"1. Click List view
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,N/A,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_PROD_126,Product Module,Product Listing,Verify grid/list view toggle - Simulate page refresh during action,On PLP,"1. Click List view
- Hit F5 mid-process",State is recovered or fails safely,Pending,N/A,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_PROD_127,Product Module,Product Listing,Verify pagination,On PLP > 20 items,1. Click Page 2,Next 20 items load,Pending,N/A,High,Major,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_PROD_128,Product Module,Product Listing,Verify pagination - Test max allowed string length,On PLP > 20 items,"1. Click Page 2
- Input string of 255 chars",System handles limit gracefully,Pending,N/A,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_PROD_129,Product Module,Product Listing,Verify pagination - Test empty required fields,On PLP > 20 items,"1. Click Page 2
- Submit without required data",Validation errors highlight fields,Pending,N/A,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_PROD_130,Product Module,Product Listing,Verify pagination - Test on Firefox,On PLP > 20 items,"1. Click Page 2
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,N/A,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_PROD_131,Product Module,Product Listing,Verify pagination - Test on small viewport (320px),On PLP > 20 items,"1. Click Page 2
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,N/A,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_PROD_132,Product Module,Product Listing,Verify pagination - Simulate page refresh during action,On PLP > 20 items,"1. Click Page 2
- Hit F5 mid-process",State is recovered or fails safely,Pending,N/A,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_PROD_133,Product Module,Product Variants,Verify color selection,On PDP with variants,1. Select Red color,Image updates to Red,Pending,Color: Red,High,Major,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_PROD_134,Product Module,Product Variants,Verify color selection - Test max allowed string length,On PDP with variants,"1. Select Red color
- Input string of 255 chars",System handles limit gracefully,Pending,Color: Red,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_PROD_135,Product Module,Product Variants,Verify color selection - Test empty required fields,On PDP with variants,"1. Select Red color
- Submit without required data",Validation errors highlight fields,Pending,Color: Red,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_PROD_136,Product Module,Product Variants,Verify color selection - Test on Firefox,On PDP with variants,"1. Select Red color
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,Color: Red,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_PROD_137,Product Module,Product Variants,Verify color selection - Test on small viewport (320px),On PDP with variants,"1. Select Red color
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,Color: Red,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_PROD_138,Product Module,Product Variants,Verify color selection - Simulate page refresh during action,On PDP with variants,"1. Select Red color
- Hit F5 mid-process",State is recovered or fails safely,Pending,Color: Red,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_PROD_139,Product Module,Product Variants,Verify size selection,On PDP with variants,1. Select Size L,Price/Stock updates if applicable,Pending,Size: L,High,Major,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_PROD_140,Product Module,Product Variants,Verify size selection - Test max allowed string length,On PDP with variants,"1. Select Size L
- Input string of 255 chars",System handles limit gracefully,Pending,Size: L,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_PROD_141,Product Module,Product Variants,Verify size selection - Test empty required fields,On PDP with variants,"1. Select Size L
- Submit without required data",Validation errors highlight fields,Pending,Size: L,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_PROD_142,Product Module,Product Variants,Verify size selection - Test on Firefox,On PDP with variants,"1. Select Size L
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,Size: L,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_PROD_143,Product Module,Product Variants,Verify size selection - Test on small viewport (320px),On PDP with variants,"1. Select Size L
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,Size: L,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_PROD_144,Product Module,Product Variants,Verify size selection - Simulate page refresh during action,On PDP with variants,"1. Select Size L
- Hit F5 mid-process",State is recovered or fails safely,Pending,Size: L,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_PROD_145,Product Module,Product Images,Verify image gallery thumbnails,On PDP,1. Click thumbnail,Main image updates,Pending,N/A,Medium,Minor,UI,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_PROD_146,Product Module,Product Images,Verify image gallery thumbnails - Test max allowed string length,On PDP,"1. Click thumbnail
- Input string of 255 chars",System handles limit gracefully,Pending,N/A,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_PROD_147,Product Module,Product Images,Verify image gallery thumbnails - Test empty required fields,On PDP,"1. Click thumbnail
- Submit without required data",Validation errors highlight fields,Pending,N/A,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_PROD_148,Product Module,Product Images,Verify image gallery thumbnails - Test on Firefox,On PDP,"1. Click thumbnail
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,N/A,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_PROD_149,Product Module,Product Images,Verify image gallery thumbnails - Test on small viewport (320px),On PDP,"1. Click thumbnail
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,N/A,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_PROD_150,Product Module,Product Images,Verify image gallery thumbnails - Simulate page refresh during action,On PDP,"1. Click thumbnail
- Hit F5 mid-process",State is recovered or fails safely,Pending,N/A,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_PROD_151,Product Module,Product Zoom,Verify hover zoom,On PDP (Desktop),1. Hover over main image,Magnified view appears,Pending,N/A,Medium,Minor,UI,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_PROD_152,Product Module,Product Zoom,Verify hover zoom - Test max allowed string length,On PDP (Desktop),"1. Hover over main image
- Input string of 255 chars",System handles limit gracefully,Pending,N/A,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_PROD_153,Product Module,Product Zoom,Verify hover zoom - Test empty required fields,On PDP (Desktop),"1. Hover over main image
- Submit without required data",Validation errors highlight fields,Pending,N/A,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_PROD_154,Product Module,Product Zoom,Verify hover zoom - Test on Firefox,On PDP (Desktop),"1. Hover over main image
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,N/A,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_PROD_155,Product Module,Product Zoom,Verify hover zoom - Test on small viewport (320px),On PDP (Desktop),"1. Hover over main image
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,N/A,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_PROD_156,Product Module,Product Zoom,Verify hover zoom - Simulate page refresh during action,On PDP (Desktop),"1. Hover over main image
- Hit F5 mid-process",State is recovered or fails safely,Pending,N/A,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_PROD_157,Product Module,Product Reviews,Verify adding review,Logged in user,"1. Give 5 stars
2. Write text
3. Submit",Review added successfully,Pending,"5 stars, 'Great!'",Medium,Major,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_PROD_158,Product Module,Product Reviews,Verify adding review - Test max allowed string length,Logged in user,"1. Give 5 stars
2. Write text
3. Submit
- Input string of 255 chars",System handles limit gracefully,Pending,"5 stars, 'Great!'",Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_PROD_159,Product Module,Product Reviews,Verify adding review - Test empty required fields,Logged in user,"1. Give 5 stars
2. Write text
3. Submit
- Submit without required data",Validation errors highlight fields,Pending,"5 stars, 'Great!'",Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_PROD_160,Product Module,Product Reviews,Verify adding review - Test on Firefox,Logged in user,"1. Give 5 stars
2. Write text
3. Submit
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,"5 stars, 'Great!'",Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_PROD_161,Product Module,Product Reviews,Verify adding review - Test on small viewport (320px),Logged in user,"1. Give 5 stars
2. Write text
3. Submit
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,"5 stars, 'Great!'",Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_PROD_162,Product Module,Product Reviews,Verify adding review - Simulate page refresh during action,Logged in user,"1. Give 5 stars
2. Write text
3. Submit
- Hit F5 mid-process",State is recovered or fails safely,Pending,"5 stars, 'Great!'",Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_PROD_163,Product Module,Inventory,Verify Out of Stock UI,OOS Product,1. Visit PDP,"Add to Cart disabled, 'Out of Stock' shown",Pending,OOS Item,High,Critical,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_PROD_164,Product Module,Inventory,Verify Out of Stock UI - Test max allowed string length,OOS Product,"1. Visit PDP
- Input string of 255 chars",System handles limit gracefully,Pending,OOS Item,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_PROD_165,Product Module,Inventory,Verify Out of Stock UI - Test empty required fields,OOS Product,"1. Visit PDP
- Submit without required data",Validation errors highlight fields,Pending,OOS Item,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_PROD_166,Product Module,Inventory,Verify Out of Stock UI - Test on Firefox,OOS Product,"1. Visit PDP
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,OOS Item,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_PROD_167,Product Module,Inventory,Verify Out of Stock UI - Test on small viewport (320px),OOS Product,"1. Visit PDP
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,OOS Item,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_PROD_168,Product Module,Inventory,Verify Out of Stock UI - Simulate page refresh during action,OOS Product,"1. Visit PDP
- Hit F5 mid-process",State is recovered or fails safely,Pending,OOS Item,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_PROD_169,Product Module,Inventory,Verify max quantity limit,In Stock Product,"1. Enter qty > stock
2. Add to cart",Error: Insufficient stock,Pending,Qty: 999,High,Major,Boundary,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_PROD_170,Product Module,Inventory,Verify max quantity limit - Test max allowed string length,In Stock Product,"1. Enter qty > stock
2. Add to cart
- Input string of 255 chars",System handles limit gracefully,Pending,Qty: 999,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_PROD_171,Product Module,Inventory,Verify max quantity limit - Test empty required fields,In Stock Product,"1. Enter qty > stock
2. Add to cart
- Submit without required data",Validation errors highlight fields,Pending,Qty: 999,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_PROD_172,Product Module,Inventory,Verify max quantity limit - Test on Firefox,In Stock Product,"1. Enter qty > stock
2. Add to cart
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,Qty: 999,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_PROD_173,Product Module,Inventory,Verify max quantity limit - Test on small viewport (320px),In Stock Product,"1. Enter qty > stock
2. Add to cart
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,Qty: 999,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_PROD_174,Product Module,Inventory,Verify max quantity limit - Simulate page refresh during action,In Stock Product,"1. Enter qty > stock
2. Add to cart
- Hit F5 mid-process",State is recovered or fails safely,Pending,Qty: 999,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_SRCH_175,Search & Filters,Keyword Search,Verify exact match search,On any page,"1. Type exact name
2. Enter",Exact product appears first,Pending,Exact Prod Name,High,Critical,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_SRCH_176,Search & Filters,Keyword Search,Verify exact match search - Test max allowed string length,On any page,"1. Type exact name
2. Enter
- Input string of 255 chars",System handles limit gracefully,Pending,Exact Prod Name,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_SRCH_177,Search & Filters,Keyword Search,Verify exact match search - Test empty required fields,On any page,"1. Type exact name
2. Enter
- Submit without required data",Validation errors highlight fields,Pending,Exact Prod Name,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_SRCH_178,Search & Filters,Keyword Search,Verify exact match search - Test on Firefox,On any page,"1. Type exact name
2. Enter
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,Exact Prod Name,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_SRCH_179,Search & Filters,Keyword Search,Verify exact match search - Test on small viewport (320px),On any page,"1. Type exact name
2. Enter
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,Exact Prod Name,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_SRCH_180,Search & Filters,Keyword Search,Verify exact match search - Simulate page refresh during action,On any page,"1. Type exact name
2. Enter
- Hit F5 mid-process",State is recovered or fails safely,Pending,Exact Prod Name,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_SRCH_181,Search & Filters,Keyword Search,Verify typo tolerance,On any page,"1. Type name with 1 typo
2. Enter",Correct product still appears,Pending,Typo string,Medium,Major,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_SRCH_182,Search & Filters,Keyword Search,Verify typo tolerance - Test max allowed string length,On any page,"1. Type name with 1 typo
2. Enter
- Input string of 255 chars",System handles limit gracefully,Pending,Typo string,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_SRCH_183,Search & Filters,Keyword Search,Verify typo tolerance - Test empty required fields,On any page,"1. Type name with 1 typo
2. Enter
- Submit without required data",Validation errors highlight fields,Pending,Typo string,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_SRCH_184,Search & Filters,Keyword Search,Verify typo tolerance - Test on Firefox,On any page,"1. Type name with 1 typo
2. Enter
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,Typo string,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_SRCH_185,Search & Filters,Keyword Search,Verify typo tolerance - Test on small viewport (320px),On any page,"1. Type name with 1 typo
2. Enter
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,Typo string,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_SRCH_186,Search & Filters,Keyword Search,Verify typo tolerance - Simulate page refresh during action,On any page,"1. Type name with 1 typo
2. Enter
- Hit F5 mid-process",State is recovered or fails safely,Pending,Typo string,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_SRCH_187,Search & Filters,Auto Suggestions,Verify dropdown suggestions,On any page,1. Type 3 letters,Dropdown shows matches,Pending,'Shi',Medium,Minor,UI/API,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_SRCH_188,Search & Filters,Auto Suggestions,Verify dropdown suggestions - Test max allowed string length,On any page,"1. Type 3 letters
- Input string of 255 chars",System handles limit gracefully,Pending,'Shi',Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_SRCH_189,Search & Filters,Auto Suggestions,Verify dropdown suggestions - Test empty required fields,On any page,"1. Type 3 letters
- Submit without required data",Validation errors highlight fields,Pending,'Shi',Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_SRCH_190,Search & Filters,Auto Suggestions,Verify dropdown suggestions - Test on Firefox,On any page,"1. Type 3 letters
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,'Shi',Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_SRCH_191,Search & Filters,Auto Suggestions,Verify dropdown suggestions - Test on small viewport (320px),On any page,"1. Type 3 letters
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,'Shi',Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_SRCH_192,Search & Filters,Auto Suggestions,Verify dropdown suggestions - Simulate page refresh during action,On any page,"1. Type 3 letters
- Hit F5 mid-process",State is recovered or fails safely,Pending,'Shi',Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_SRCH_193,Search & Filters,Category Filters,Verify category selection,On PLP,1. Select 'Electronics',Only electronics shown,Pending,Category ID,High,Major,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_SRCH_194,Search & Filters,Category Filters,Verify category selection - Test max allowed string length,On PLP,"1. Select 'Electronics'
- Input string of 255 chars",System handles limit gracefully,Pending,Category ID,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_SRCH_195,Search & Filters,Category Filters,Verify category selection - Test empty required fields,On PLP,"1. Select 'Electronics'
- Submit without required data",Validation errors highlight fields,Pending,Category ID,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_SRCH_196,Search & Filters,Category Filters,Verify category selection - Test on Firefox,On PLP,"1. Select 'Electronics'
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,Category ID,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_SRCH_197,Search & Filters,Category Filters,Verify category selection - Test on small viewport (320px),On PLP,"1. Select 'Electronics'
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,Category ID,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_SRCH_198,Search & Filters,Category Filters,Verify category selection - Simulate page refresh during action,On PLP,"1. Select 'Electronics'
- Hit F5 mid-process",State is recovered or fails safely,Pending,Category ID,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_SRCH_199,Search & Filters,Price Filters,Verify price range slider,On PLP,1. Set range $50-$100,Only items $50-$100 shown,Pending,"Min:50, Max:100",High,Major,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_SRCH_200,Search & Filters,Price Filters,Verify price range slider - Test max allowed string length,On PLP,"1. Set range $50-$100
- Input string of 255 chars",System handles limit gracefully,Pending,"Min:50, Max:100",Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_SRCH_201,Search & Filters,Price Filters,Verify price range slider - Test empty required fields,On PLP,"1. Set range $50-$100
- Submit without required data",Validation errors highlight fields,Pending,"Min:50, Max:100",Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_SRCH_202,Search & Filters,Price Filters,Verify price range slider - Test on Firefox,On PLP,"1. Set range $50-$100
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,"Min:50, Max:100",Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_SRCH_203,Search & Filters,Price Filters,Verify price range slider - Test on small viewport (320px),On PLP,"1. Set range $50-$100
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,"Min:50, Max:100",Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_SRCH_204,Search & Filters,Price Filters,Verify price range slider - Simulate page refresh during action,On PLP,"1. Set range $50-$100
- Hit F5 mid-process",State is recovered or fails safely,Pending,"Min:50, Max:100",Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_SRCH_205,Search & Filters,Sorting,Verify Price Low to High,On PLP,1. Sort Low to High,Items sorted ascending price,Pending,N/A,High,Major,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_SRCH_206,Search & Filters,Sorting,Verify Price Low to High - Test max allowed string length,On PLP,"1. Sort Low to High
- Input string of 255 chars",System handles limit gracefully,Pending,N/A,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_SRCH_207,Search & Filters,Sorting,Verify Price Low to High - Test empty required fields,On PLP,"1. Sort Low to High
- Submit without required data",Validation errors highlight fields,Pending,N/A,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_SRCH_208,Search & Filters,Sorting,Verify Price Low to High - Test on Firefox,On PLP,"1. Sort Low to High
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,N/A,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_SRCH_209,Search & Filters,Sorting,Verify Price Low to High - Test on small viewport (320px),On PLP,"1. Sort Low to High
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,N/A,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_SRCH_210,Search & Filters,Sorting,Verify Price Low to High - Simulate page refresh during action,On PLP,"1. Sort Low to High
- Hit F5 mid-process",State is recovered or fails safely,Pending,N/A,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_CART_211,Cart Module,Add to Cart,Verify adding single item,On PDP,1. Click Add to Cart,Cart counter increments by 1,Pending,Item X,High,Critical,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_CART_212,Cart Module,Add to Cart,Verify adding single item - Test max allowed string length,On PDP,"1. Click Add to Cart
- Input string of 255 chars",System handles limit gracefully,Pending,Item X,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_CART_213,Cart Module,Add to Cart,Verify adding single item - Test empty required fields,On PDP,"1. Click Add to Cart
- Submit without required data",Validation errors highlight fields,Pending,Item X,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_CART_214,Cart Module,Add to Cart,Verify adding single item - Test on Firefox,On PDP,"1. Click Add to Cart
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,Item X,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_CART_215,Cart Module,Add to Cart,Verify adding single item - Test on small viewport (320px),On PDP,"1. Click Add to Cart
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,Item X,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_CART_216,Cart Module,Add to Cart,Verify adding single item - Simulate page refresh during action,On PDP,"1. Click Add to Cart
- Hit F5 mid-process",State is recovered or fails safely,Pending,Item X,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_CART_217,Cart Module,Update Quantity,Verify increasing qty,In Cart,1. Click + on item,"Qty increases, total updates",Pending,N/A,High,Major,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_CART_218,Cart Module,Update Quantity,Verify increasing qty - Test max allowed string length,In Cart,"1. Click + on item
- Input string of 255 chars",System handles limit gracefully,Pending,N/A,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_CART_219,Cart Module,Update Quantity,Verify increasing qty - Test empty required fields,In Cart,"1. Click + on item
- Submit without required data",Validation errors highlight fields,Pending,N/A,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_CART_220,Cart Module,Update Quantity,Verify increasing qty - Test on Firefox,In Cart,"1. Click + on item
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,N/A,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_CART_221,Cart Module,Update Quantity,Verify increasing qty - Test on small viewport (320px),In Cart,"1. Click + on item
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,N/A,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_CART_222,Cart Module,Update Quantity,Verify increasing qty - Simulate page refresh during action,In Cart,"1. Click + on item
- Hit F5 mid-process",State is recovered or fails safely,Pending,N/A,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_CART_223,Cart Module,Remove Product,Verify removing item,In Cart,1. Click trash icon,"Item removed, total updates",Pending,N/A,High,Major,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_CART_224,Cart Module,Remove Product,Verify removing item - Test max allowed string length,In Cart,"1. Click trash icon
- Input string of 255 chars",System handles limit gracefully,Pending,N/A,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_CART_225,Cart Module,Remove Product,Verify removing item - Test empty required fields,In Cart,"1. Click trash icon
- Submit without required data",Validation errors highlight fields,Pending,N/A,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_CART_226,Cart Module,Remove Product,Verify removing item - Test on Firefox,In Cart,"1. Click trash icon
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,N/A,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_CART_227,Cart Module,Remove Product,Verify removing item - Test on small viewport (320px),In Cart,"1. Click trash icon
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,N/A,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
